Keyword,Intent,Volume,Difficulty,Priority,Target URL,Status
porcelain tiles dubai,Commercial,450,25,HIGH,/porcelain-tiles/,PLANNED
ceramic tiles dubai,Commercial,320,22,HIGH,/ceramic-tiles/,PLANNED
buy tiles dubai,Commercial,280,35,MEDIUM,/shop/,PLANNED
floor tiles dubai,Commercial,200,20,HIGH,/floor-tiles/,PLANNED
bathroom tiles dubai,Commercial,180,18,HIGH,/bathroom-tiles/,PLANNED
porcelain tiles sharjah,Commercial,200,20,MEDIUM,/sharjah/,PLANNED
ceramic vs porcelain,Informational,150,15,MEDIUM,/blog/ceramic-vs-porcelain/,PLANNED
tile installation guide,Informational,120,12,MEDIUM,/blog/installation-guide/,PLANNED
best tiles bathroom,Informational,100,14,MEDIUM,/blog/bathroom-tiles/,PLANNED
porcelain tile types,Informational,80,10,LOW,/blog/porcelain-types/,PLANNED
tiles near me,Local,200,30,MEDIUM,/local/,PLANNED
buy tiles online uae,Commercial,150,40,LOW,/shop/,PLANNED
tile durability,Informational,90,8,LOW,/blog/durability/,PLANNED
wall tiles design,Informational,75,12,LOW,/blog/wall-tiles/,PLANNED
large format tiles,Commercial,110,22,MEDIUM,/products/large-format/,PLANNED
outdoor tiles,Commercial,95,18,MEDIUM,/outdoor-tiles/,PLANNED
tile colors,Informational,85,10,LOW,/blog/tile-colors/,PLANNED
porcelain slab collection,Commercial,140,28,MEDIUM,/porcelain-slabs/,PLANNED
kitchen tile ideas,Informational,120,15,MEDIUM,/blog/kitchen-tiles/,PLANNED
tile maintenance,Informational,70,8,LOW,/blog/maintenance/,PLANNED
